# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.05223864   -0.09002137   -0.04011668    0.00249327    0.59141523   -0.07506437   -0.07488447   -0.00425237
   -0.05242499    0.08980301   -0.04010000    0.00225585    0.59177088   -0.07512743   -0.00427447   -0.07473524
   -0.05243321    0.08978617   -0.04009476    0.00225582    0.59180379   -0.07512443   -0.00427249   -0.07472005
   -0.05243441    0.08978537   -0.04009592    0.00225583    0.59180304   -0.07512646   -0.00427402   -0.07472095
   -0.05223224   -0.09000525   -0.04011283    0.00249327    0.59146057   -0.07505655   -0.07487467   -0.00425522
   -0.05222946   -0.09002091   -0.04011823    0.00249325    0.59142402   -0.07506221   -0.07488836   -0.00425662
   -0.05242966    0.08979085   -0.04009460    0.00225582    0.59179762   -0.07512263   -0.00427126   -0.07472249
   -0.05223388   -0.09001122   -0.04011484    0.00249325    0.59144394   -0.07505987   -0.07487922   -0.00425509
   -0.05243509    0.08979397   -0.04009579    0.00225582    0.59178402   -0.07512661   -0.00427033   -0.07472401
   -0.05243658    0.08979718   -0.04009826    0.00225582    0.59177306   -0.07513044   -0.00427189   -0.07472809
   -0.05243003    0.08978971   -0.04009589    0.00225582    0.59179837   -0.07512444   -0.00427327   -0.07472360
   -0.05223399   -0.09001174   -0.04011586    0.00249325    0.59144165   -0.07506122   -0.07488070   -0.00425615
   -0.05222384   -0.09002060   -0.04011400    0.00249325    0.59143474   -0.07505425   -0.07488409   -0.00425260
   -0.05222096   -0.09001726   -0.04011415    0.00249324    0.59144477   -0.07505312   -0.07488362   -0.00425475
   -0.05222166   -0.09001585   -0.04011368    0.00249324    0.59144760   -0.07505284   -0.07488230   -0.00425454
   -0.05222395   -0.09002204   -0.04011686    0.00249325    0.59142860   -0.07505796   -0.07488830   -0.00425568
   -0.05223120   -0.09002128   -0.04011708    0.00249325    0.59142261   -0.07506153   -0.07488664   -0.00425461
   -0.05244397    0.08978781   -0.04009877    0.00225583    0.59178487   -0.07513445   -0.00427455   -0.07472339
   -0.05242842    0.08979530   -0.04009644    0.00225582    0.59178749   -0.07512441   -0.00427214   -0.07472686
   -0.05223318   -0.09001944   -0.04011521    0.00249325    0.59142647   -0.07506003   -0.07488308   -0.00425249
   -0.05243132    0.08978895   -0.04009491    0.00225582    0.59179963   -0.07512378   -0.00427203   -0.07472176
   -0.05244280    0.08979017   -0.04009727    0.00225582    0.59178258   -0.07513199   -0.00427196   -0.07472266
   -0.05243207    0.08978993   -0.04009412    0.00225582    0.59179757   -0.07512309   -0.00427045   -0.07472096
   -0.05222549   -0.09001301   -0.04011178    0.00249325    0.59145178   -0.07505214   -0.07487790   -0.00425236
   -0.05244291    0.08979579   -0.04010003    0.00225582    0.59176760   -0.07513558   -0.00427328   -0.07472838
   -0.05243128    0.08979921   -0.04010014    0.00225583    0.59177231   -0.07513046   -0.00427471   -0.07473250
   -0.05244180    0.08979587   -0.04009875    0.00225582    0.59176990   -0.07513344   -0.00427186   -0.07472702
